market,code,ticker,name,event_date,event_type,title,summary,source,source_url,source_tier,data_status,priority,fetched_at,event_id,raw_excerpt
JP,6965,6965.T,浜松ホトニクス,"Thu, 06 Aug 2026",guidance,決算:浜松ホトニクス、26年9月期の純利益23%増 半導体関連伸び上方修正 - 日本経済新聞,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMibEFVX3lxTFBmVEVJUmoxbkY1S2IwUEVSY1BFMVVLa1pDalQ1NXNZTHhPSnN0UlZ6dHlfSzNFOEZpWjkxVW0xRUNDSTBSS1FMQllsdnAtR0pkOW84T3VxbmR2ZlRmVWFERm5fVTlZeFktSi10NA?oc=5,secondary,unverified,critical,2026-09-16T07:30:49+00:00,34cd8d9735033e01a3f279c6,
US,CMBT,CMBT,CMB.TECH NV Ordinary Shares,2026-08-03,filing,SEC 6-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1604481/000091957426004739/p15041800_6k.htm,primary,ok,high,2026-09-16T07:30:48+00:00,b2a79514fcf74dbe1e4c2287,
US,MRP,MRP,"Millrose Properties, Inc. Class A Common Stock",2026-08-04,earnings,SEC 10-Q filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2017206/000119312526332732/ck0002017206-20260630.htm,primary,ok,high,2026-09-16T07:30:48+00:00,1100cc90f3331f57e97c9e82,
US,MRP,MRP,"Millrose Properties, Inc. Class A Common Stock",2026-08-04,filing,SEC 8-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2017206/000119312526331663/ck0002017206-20260804.htm,primary,ok,high,2026-09-16T07:30:48+00:00,9d1b5f0abdd8cdd45efb9295,
US,DBRG,DBRG,"DigitalBridge Group, Inc.",2026-08-04,earnings,SEC 10-Q filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1679688/000167968826000115/dbrg-20260630.htm,primary,ok,high,2026-09-16T07:30:48+00:00,d23957ed8c8d9f5e62b65f95,
US,DBRG,DBRG,"DigitalBridge Group, Inc.",2026-08-04,filing,SEC 8-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1679688/000167968826000113/dbrg-20260804.htm,primary,ok,high,2026-09-16T07:30:48+00:00,c50aef75d97bf3ae1c76dc05,
US,MRP,MRP,"Millrose Properties, Inc. Class A Common Stock",2026-08-05,filing,SEC 8-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2017206/000119312526335005/d177605d8k.htm,primary,ok,high,2026-09-16T07:30:48+00:00,ab610e061cef22a35925e013,
US,LTC,LTC,"LTC Properties, Inc. Common Stock",2026-08-05,earnings,SEC 10-Q filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/887905/000110465926091183/ltc-20260630x10q.htm,primary,ok,high,2026-09-16T07:30:48+00:00,310da67b5940991a70feefa5,
US,LTC,LTC,"LTC Properties, Inc. Common Stock",2026-08-05,filing,SEC 8-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/887905/000110465926091138/ltc-20260805x8k.htm,primary,ok,high,2026-09-16T07:30:48+00:00,edd29d3d83e9a1162f687aab,
US,CARE,CARE,"Carter Bankshares, Inc. - Common Stock",2026-08-06,earnings,SEC 10-Q filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1829576/000182957626000077/care-20260630.htm,primary,ok,high,2026-09-16T07:30:48+00:00,0880e5920b48c44b380113fa,
